orcid,predicted_faculties,prediction_confidence
0000-0001-5969-6899,med,1
0000-0001-5970-0181,med,0.95
0000-0001-5972-3121,sowi,0.95
0000-0001-5974-5013,mint,1
0000-0001-5982-8468,mint,1
0000-0001-5985-7939,mint,0.9
0000-0001-5988-7409,mint,1
0000-0001-5993-9088,mint,1
0000-0001-6011-9466,med,1
0000-0001-6012-6340,tech,1
0000-0001-6026-0806,agrar,1
0000-0001-6026-249X,med,1
0000-0001-6026-599X,med,0.95
0000-0001-6028-5712,sowi,0.95
0000-0001-6032-9658,sowi,1
0000-0001-6043-4204,med,0.95
0000-0001-6043-9072,med,1
0000-0001-6067-3408,med,1
0000-0001-6069-7485,mint,0.95
0000-0001-6071-7810,med,0.95
0000-0001-6075-8970,sowi,0.95
0000-0001-6077-6407,med,1
0000-0001-6078-7739,sowi,1
0000-0001-6080-2548,mint,1
0000-0001-6090-2856,agrar,0.95
0000-0001-6092-4561,mint,1
0000-0001-6096-5726,mint,0.95
0000-0001-6097-8295,mint,1
0000-0001-6105-2937,med,0.95
0000-0001-6110-5074,phil,1
0000-0001-6112-2499,mint,0.95
0000-0001-6116-7021,med,1
0000-0001-6117-3026,sowi,0.95
0000-0001-6133-7801,mint,0.95
0000-0001-6137-9702,med,1
0000-0001-6145-1591,med,1
0000-0001-6154-1917,mint,0.95
0000-0001-6157-7733,sowi,0.95
0000-0001-6165-0144,agrar,1
0000-0001-6166-4191,med,1
0000-0001-6171-8866,sowi,0.95
0000-0001-6178-7757,phil,0.95
0000-0001-6182-6592,med,1
0000-0001-6183-8657,phil,0.95
0000-0001-6186-8573,mint,0.95
0000-0001-6189-6806,mint,1
0000-0001-6195-6063,mint,0.95
0000-0001-6199-4908,med,1
0000-0001-6200-0290,agrar,0.95
0000-0001-6207-8805,mint,1
0000-0001-6209-539X,tech,1
0000-0001-6216-5386,mint,0.95
0000-0001-6223-2841,agrar,0.95
0000-0001-6225-5488,mint,0.95
0000-0001-6239-8358,tech,1
0000-0001-6253-2916,mint,0.95
0000-0001-6254-1302,med,1
0000-0001-6259-1932,med,1
0000-0001-6266-1881,mint,0.95
0000-0001-6266-5356,sowi,0.95
0000-0001-6272-8898,mint,0.95
0000-0001-6274-6973,mint,1
0000-0001-6281-100X,mint,1
0000-0001-6284-0759,tech,0.9
0000-0001-6286-8196,mint,1
0000-0001-6290-9699,med,0.95
0000-0001-6297-1847,med,1
0000-0001-6297-5178,mint,1
0000-0001-6304-771X,mint,0.95
0000-0001-6307-8428,mint,1
0000-0001-6309-2609,mint,1
0000-0001-6310-8404,mint,0.95
0000-0001-6317-1884,mint,1
0000-0001-6335-5798,mint,0.95
0000-0001-6337-8674,mint,0.95
0000-0001-6339-3591,sowi,0.95
0000-0001-6339-6549,med,1
0000-0001-6343-9000,med,1
0000-0001-6344-6542,mint,1
0000-0001-6349-7817,sowi,0.95
0000-0001-6353-2643,mint,0.95
0000-0001-6359-2128,mint,1
0000-0001-6361-0752,mint,1
0000-0001-6366-286X,mint,1
0000-0001-6374-4910,med,1
0000-0001-6375-0165,sowi,0.95
0000-0001-6375-7295,med,0.95
0000-0001-6384-9376,mint,0.95
0000-0001-6388-3777,mint,0.95
0000-0001-6389-1160,mint,0.95
0000-0001-6390-3977,tech,1
0000-0001-6404-6364,med,1
0000-0001-6405-2166,med,1
0000-0001-6414-8723,phil,0.95
0000-0001-6415-3434,phil,1
0000-0001-6420-3198,mint,1
0000-0001-6426-7458,mint,1
0000-0001-6428-3001,med,0.95
0000-0001-6429-9791,mint,0.95
0000-0001-6430-3471,agrar,0.95
0000-0001-6432-7422,mint,0.95
0000-0001-6444-9593,sowi,1
0000-0001-6451-6354,med,0.95
0000-0001-6455-4190,med,1
0000-0001-6457-9996,sowi,0.95
0000-0001-6459-9284,mint,0.95
0000-0001-6463-7308,mint,1
0000-0001-6467-1194,mint,1
0000-0001-6478-4834,med,1
0000-0001-6488-2362,med,1
0000-0001-6500-2697,mint,1
0000-0001-6515-1940,sowi,0.95
0000-0001-6517-1503,sowi,1
0000-0001-6527-9426,mint,1
0000-0001-6529-2129,sowi,0.95
0000-0001-6535-6575,mint,0.95
0000-0001-6537-3690,mint,0.95
0000-0001-6537-7149,sowi,0.95
0000-0001-6541-7374,sowi,1
0000-0001-6544-3839,sowi,0.85
0000-0001-6545-2516,mint,0.9
0000-0001-6549-8872,phil,0.9
0000-0001-6558-8237,mint,1
0000-0001-6575-3079,mint,1
0000-0001-6576-8377,mint,0.95
0000-0001-6578-4705,mint,1
0000-0001-6580-6644,mint,1
0000-0001-6582-0083,med,1
0000-0001-6586-3104,med,1
0000-0001-6595-7995,NA,NA
0000-0001-6596-5303,mint,0.95
0000-0001-6611-3161,med,1
0000-0001-6611-5626,mint,1
0000-0001-6622-278X,mint,1
0000-0001-6622-3328,mint,1
0000-0001-6625-7931,sowi,0.95
0000-0001-6626-762X,med,0.95
0000-0001-6636-4972,mint,1
0000-0001-6638-0147,sowi,0.95
0000-0001-6647-4100,sowi,0.95
0000-0001-6657-833X,med,1
0000-0001-6660-0031,phil,0.95
0000-0001-6660-6388,mint,1
0000-0001-6678-7879,sowi,0.95
0000-0001-6688-7837,sowi,0.95
0000-0001-6690-5361,agrar,0.95
0000-0001-6697-018X,med,1
0000-0001-6708-2520,sowi,1
0000-0001-6725-0301,mint,0.95
0000-0001-6735-6157,sowi,1
0000-0001-6735-9534,sowi,0.95
0000-0001-6740-3312,mint,0.95
0000-0001-6741-2833,mint,1
0000-0001-6754-2814,mint,0.95
0000-0001-6761-7740,tech,1
0000-0001-6762-9928,med,1
0000-0001-6766-0749,mint,0.95
0000-0001-6779-9919,sowi,0.95
0000-0001-6786-6851,sowi,0.95
0000-0001-6788-4224,mint,1
0000-0001-6794-9497,mint,1
0000-0001-6799-4888,mint,0.95
0000-0001-6799-9777,mint,1
0000-0001-6800-5658,mint,0.95
0000-0001-6801-567X,mint,1
0000-0001-6804-9896,mint,1
0000-0001-6805-7407,med,1
0000-0001-6806-6450,med,0.95
0000-0001-6814-0198,mint,1
0000-0001-6814-6151,med,0.95
0000-0001-6823-7969,med,0.95
0000-0001-6827-1374,sowi,0.95
0000-0001-6835-6722,sowi,0.95
0000-0001-6836-073X,mint,0.95
0000-0001-6839-0605,med,1
0000-0001-6842-1256,mint,1
0000-0001-6844-0318,mint,0.95
0000-0001-6847-5502,mint,1
0000-0001-6848-920X,sowi,0.95
0000-0001-6850-1440,mint,1
0000-0001-6853-1383,med,0.95
0000-0001-6856-7239,agrar,0.95
0000-0001-6863-5262,mint,1
0000-0001-6864-8514,med,1
0000-0001-6865-5474,mint,1
0000-0001-6868-227X,mint,1
0000-0001-6868-8540,mint,0.95
0000-0001-6870-8935,mint,1
0000-0001-6875-0172,mint,0.95
0000-0001-6876-8903,med,0.95
0000-0001-6877-9098,sowi,0.95
0000-0001-6887-7763,sowi,0.95
0000-0001-6887-7966,sowi,0.95
0000-0001-6888-1885,mint,1
0000-0001-6892-4013,sowi,0.85
0000-0001-6893-7324,mint,0.95
0000-0001-6897-4010,sowi,0.95
0000-0001-6905-9017,mint,0.95
0000-0001-6909-0356,agrar,1
0000-0001-6914-7383,mint,0.95
0000-0001-6915-9181,tech,0.95
0000-0001-6918-1303,mint,0.95
0000-0001-6922-9805,sowi,0.95
0000-0001-6934-5603,mint,0.95
0000-0001-6935-4892,mint,0.95
0000-0001-6936-9090,med,1
0000-0001-6937-6995,sowi,0.95
0000-0001-6947-2602,med,0.95
0000-0001-6947-8334,mint,1
0000-0001-6948-2544,phil,0.95
0000-0001-6954-651X,mint,0.95
0000-0001-6954-7600,sowi,0.95
0000-0001-6955-2020,mint,1
0000-0001-6966-6730,agrar,1
0000-0001-6972-2157,sowi,0.95
0000-0001-6973-5660,mint,1
0000-0001-6975-7165,med,0.95
0000-0001-7003-399X,med,0.95
0000-0001-7011-5346,sowi,1
0000-0001-7014-5748,mint,1
0000-0001-7025-4362,mint,1
0000-0001-7032-8683,agrar,0.95
0000-0001-7040-149X,mint,1
0000-0001-7044-2101,sowi,0.95
0000-0001-7051-8030,mint,1
0000-0001-7052-2531,mint,0.95
0000-0001-7053-5893,med,0.95
0000-0001-7054-1046,mint,0.95
0000-0001-7054-1820,mint,0.95
0000-0001-7057-194X,mint,0.95
0000-0001-7075-5124,mint,0.95
0000-0001-7077-2127,med,0.95
0000-0001-7079-4967,jura,1
0000-0001-7081-8957,mint,1
0000-0001-7082-4839,mint,0.95
0000-0001-7084-5883,med,1
0000-0001-7085-0164,sowi,0.95
0000-0001-7086-8241,agrar,0.95
0000-0001-7087-6946,NA,NA
0000-0001-7091-1051,med,1
0000-0001-7094-6465,phil,0.95
0000-0001-7095-5740,mint,1
0000-0001-7098-8198,mint,0.95
0000-0001-7102-8164,med,1
0000-0001-7110-223X,mint,1
0000-0001-7113-0302,sowi,0.95
0000-0001-7114-2717,phil,0.95
0000-0001-7115-0186,med,0.95
0000-0001-7115-2122,med,0.95
0000-0001-7121-8371,agrar,0.95
0000-0001-7123-7986,med,1
0000-0001-7125-572X,med,1
0000-0001-7138-7415,med,1
0000-0001-7139-1860,phil,1
0000-0001-7141-9544,agrar,0.95
0000-0001-7142-348X,mint,1
0000-0001-7147-4113,med,0.85
0000-0001-7149-8190,sowi,0.95
0000-0001-7153-7663,mint,1
0000-0001-7158-7855,mint,0.95
0000-0001-7164-5373,agrar,1
0000-0001-7168-4428,med,1
0000-0001-7168-4970,med,0.9
0000-0001-7169-6330,sowi,0.95
0000-0001-7172-2586,med,0.95
0000-0001-7175-2881,agrar,1
0000-0001-7191-0712,phil,0.95
0000-0001-7191-0739,sowi,0.95
0000-0001-7191-6911,mint,1
0000-0001-7201-6771,mint,1
0000-0001-7207-3493,agrar,1
0000-0001-7208-1186,mint,1
0000-0001-7208-4117,med,1
0000-0001-7212-6209,med,1
0000-0001-7214-0828,tech,0.95
0000-0001-7221-3900,med,1
0000-0001-7224-0458,mint,0.95
0000-0001-7224-7617,med,0.95
0000-0001-7227-8157,agrar,0.95
0000-0001-7228-3503,tech,1
0000-0001-7231-2052,mint,1
0000-0001-7234-1136,phil,0.95
0000-0001-7242-8063,tech,1
0000-0001-7245-7614,sowi,0.95
0000-0001-7249-8870,agrar,0.9
0000-0001-7265-0449,mint,0.95
0000-0001-7270-6211,mint,0.95
0000-0001-7278-4789,med,0.95
0000-0001-7280-9720,mint,0.95
0000-0001-7281-3746,mint,1
0000-0001-7283-1995,med,1
0000-0001-7286-3575,sowi,1
0000-0001-7290-2909,sowi,0.95
0000-0001-7292-4147,phil,0.95
0000-0001-7316-8531,med,1
0000-0001-7321-7305,med,1
0000-0001-7322-680X,mint,1
0000-0001-7324-6122,mint,0.95
0000-0001-7328-636X,mint,1
0000-0001-7329-5178,mint,1
0000-0001-7329-8221,sowi,0.95
0000-0001-7331-1406,agrar,0.95
0000-0001-7333-7091,mint,0.95
0000-0001-7334-2050,mint,0.95
0000-0001-7334-8241,med,1
0000-0001-7336-6765,mint,1
0000-0001-7337-3009,mint,0.95
0000-0001-7338-0188,phil,0.95
0000-0001-7344-7995,mint,0.95
0000-0001-7348-6863,mint,0.95
0000-0001-7354-5958,med,1
0000-0001-7355-4213,med,1
0000-0001-7367-3394,sowi,1
0000-0001-7368-8617,med,1
0000-0001-7369-6561,agrar,0.95
0000-0001-7372-5334,sowi,0.95
0000-0001-7375-5875,med,1
0000-0001-7380-2344,mint,0.95
0000-0001-7381-3836,med,1
0000-0001-7394-1061,mint,1
0000-0001-7399-4665,mint,0.95
0000-0001-7405-013X,mint,1
0000-0001-7406-8006,med,1
0000-0001-7408-425X,agrar,1
0000-0001-7410-6324,sowi,0.95
0000-0001-7414-5729,med,1
0000-0001-7421-7577,med,0.95
0000-0001-7432-6239,mint,0.95
0000-0001-7435-7721,tech,0.95
0000-0001-7439-8216,med,1
0000-0001-7441-5506,tech,1
0000-0001-7443-9890,med,1
0000-0001-7444-573X,mint,0.95
0000-0001-7450-1279,mint,1
0000-0001-7451-3325,phil,0.95
0000-0001-7451-773X,mint,0.95
0000-0001-7453-5137,mint,1
0000-0001-7457-0047,mint,1
0000-0001-7458-983X,agrar,1
0000-0001-7465-0696,agrar,0.95
0000-0001-7471-475X,med,1
0000-0001-7481-4662,mint,0.95
0000-0001-7482-4748,med,1
0000-0001-7483-0726,sowi,0.95
0000-0001-7489-0403,mint,0.95
0000-0001-7490-0237,mint,1
0000-0001-7490-4983,med,1
0000-0001-7492-1943,sowi,0.95
0000-0001-7492-5338,mint,1
0000-0001-7492-9953,sowi,0.95
0000-0001-7494-0845,med,1
0000-0001-7498-6229,med,1
0000-0001-7499-3488,sowi,1
0000-0001-7501-2506,mint,0.95
0000-0001-7502-7003,sowi,0.9
0000-0001-7506-8569,mint,1
0000-0001-7509-242X,med,1
0000-0001-7509-269X,tech,1
0000-0001-7509-8768,mint,0.95
0000-0001-7509-9349,sowi,1
0000-0001-7510-1795,med,1
0000-0001-7512-1390,agrar,1
0000-0001-7516-3179,med,1
0000-0001-7521-8934,phil,0.95
0000-0001-7524-4577,sowi,1
0000-0001-7536-9468,sowi,0.95
0000-0001-7538-7367,mint,0.95
0000-0001-7541-1021,med,1
0000-0001-7545-3168,med,1
0000-0001-7552-1220,mint,0.95
0000-0001-7553-3838,sowi,0.95
0000-0001-7558-7625,med,1
0000-0001-7558-909X,mint,1
0000-0001-7567-9730,mint,0.95
0000-0001-7572-2903,mint,1
0000-0001-7575-2483,med,0.95
0000-0001-7582-2154,agrar,0.95
0000-0001-7583-0621,mint,0.95
0000-0001-7584-8733,mint,1
0000-0001-7585-6071,sowi,0.95
0000-0001-7585-8237,mint,0.9
0000-0001-7594-862X,mint,1
0000-0001-7606-1852,mint,0.95
0000-0001-7608-3349,tech,0.95
0000-0001-7613-9592,med,0.95
0000-0001-7616-1837,mint,1
0000-0001-7616-4878,mint,1
0000-0001-7620-1819,med,1
0000-0001-7620-3590,mint,0.95
0000-0001-7640-1220,med,1
0000-0001-7642-035X,phil,0.95
0000-0001-7642-5556,med,0.95
0000-0001-7651-6183,med,1
0000-0001-7660-0668,mint,0.95
0000-0001-7669-0042,med,0.95
0000-0001-7669-5345,sowi,0.95
0000-0001-7675-400X,sowi,0.95
0000-0001-7676-9236,sowi,0.95
0000-0001-7680-2147,med,1
0000-0001-7685-262X,sowi,0.95
0000-0001-7687-1388,med,1
0000-0001-7694-062X,phil,0.95
0000-0001-7695-6437,med,1
0000-0001-7698-5772,sowi,0.95
0000-0001-7703-5533,sowi,0.95
0000-0001-7714-2048,sowi,0.95
0000-0001-7730-2072,sowi,0.95
0000-0001-7731-3345,mint,1
0000-0001-7732-129X,agrar,0.95
0000-0001-7733-5069,agrar,1
0000-0001-7746-0652,sowi,0.95
0000-0001-7747-5774,sowi,0.95
0000-0001-7747-9636,med,1
0000-0001-7748-4910,agrar,1
0000-0001-7748-980X,mint,1
0000-0001-7756-5526,sowi,0.95
0000-0001-7762-4696,med,1
0000-0001-7765-2996,mint,1
0000-0001-7785-4926,mint,0.95
0000-0001-7793-0941,med,0.95
0000-0001-7794-5465,mint,1
0000-0001-7799-4822,med,1
0000-0001-7803-4401,sowi,0.95
0000-0001-7812-6541,sowi,0.95
0000-0001-7823-1958,sowi,1
0000-0001-7827-5731,mint,0.95
0000-0001-7829-6962,phil,0.95
0000-0001-7831-8420,med,1
0000-0001-7833-4068,sowi,0.95
0000-0001-7836-4646,phil,0.95
0000-0001-7837-5257,agrar,1
0000-0001-7840-0651,med,0.95
0000-0001-7840-7909,sowi,0.95
0000-0001-7841-3452,mint,1
0000-0001-7842-9577,mint,1
0000-0001-7847-5872,mint,0.95
0000-0001-7847-8459,sowi,0.95
0000-0001-7875-664X,mint,1
0000-0001-7880-4285,sowi,0.95
0000-0001-7887-5016,mint,1
0000-0001-7891-7108,med,0.95
0000-0001-7897-3118,tech,0.95
0000-0001-7898-9451,agrar,0.95
0000-0001-7901-4808,tech,0.95
0000-0001-7905-4711,mint,1
0000-0001-7911-0656,mint,1
0000-0001-7915-8107,tech,1
0000-0001-7923-0519,med,1
0000-0001-7923-822X,sowi,0.95
0000-0001-7925-8917,mint,0.95
0000-0001-7925-9311,mint,0.95
0000-0001-7926-3986,mint,1
0000-0001-7932-3950,phil,0.95
0000-0001-7933-0034,mint,1
0000-0001-7934-8349,NA,NA
0000-0001-7935-9785,phil,0.95
0000-0001-7942-0611,sowi,0.95
0000-0001-7946-8148,mint,0.95
0000-0001-7950-6837,phil,0.95
0000-0001-7954-9853,med,1
0000-0001-7963-8864,med,1
0000-0001-7965-5007,med,1
0000-0001-7977-5041,mint,1
0000-0001-7982-6232,mint,1
0000-0001-7989-5836,phil,1
0000-0001-7989-6847,sowi,0.95
0000-0001-7991-5091,mint,1
0000-0001-7994-4407,mint,0.95
0000-0001-7997-493X,med,1
0000-0001-8003-7708,tech,0.95
0000-0001-8004-9514,med,0.95
0000-0001-8007-5878,mint,1
0000-0001-8010-4157,mint,0.95
0000-0001-8026-0862,sowi,1
0000-0001-8037-128X,sowi,1
0000-0001-8037-3170,sowi,0.95
0000-0001-8037-7809,sowi,0.95
0000-0001-8040-079X,sowi,0.98
0000-0001-8041-2467,mint,1
0000-0001-8043-296X,med,1
0000-0001-8048-580X,mint,0.95
0000-0001-8056-7290,med,1
0000-0001-8058-412X,sowi,0.95
0000-0001-8058-594X,mint,0.95
0000-0001-8060-7088,mint,0.95
0000-0001-8062-6959,med,1
0000-0001-8068-1683,mint,0.95
0000-0001-8071-0827,med,1
0000-0001-8074-4103,mint,1
0000-0001-8090-2044,med,1
0000-0001-8090-3514,med,1
0000-0001-8091-6470,med,0.95
0000-0001-8095-8056,mint,1
0000-0001-8098-182X,mint,1
0000-0001-8105-4403,mint,0.95
0000-0001-8108-7520,mint,0.95
0000-0001-8108-9921,sowi,0.95
0000-0001-8109-5117,mint,1
0000-0001-8110-6007,mint,1
0000-0001-8112-7131,mint,1
0000-0001-8125-4552,mint,0.95
0000-0001-8141-3728,mint,1
0000-0001-8143-0376,med,0.95
0000-0001-8149-7976,agrar,1
0000-0001-8151-4684,mint,1
0000-0001-8164-733X,sowi,0.95
0000-0001-8175-1719,med,1
0000-0001-8196-4992,phil,0.85
0000-0001-8198-3755,sowi,0.95
0000-0001-8201-9714,mint,0.95
0000-0001-8202-1785,sowi,1
0000-0001-8204-213X,phil,1
0000-0001-8211-691X,mint,0.95
0000-0001-8214-3846,med,1
0000-0001-8214-5868,med,1
0000-0001-8217-5450,mint,1
0000-0001-8218-9609,mint,0.95
0000-0001-8219-8986,med,0.95
0000-0001-8223-2638,med,1
0000-0001-8225-1329,med,1
0000-0001-8226-9019,agrar,0.95
0000-0001-8231-0261,sowi,0.95
0000-0001-8233-2604,agrar,0.95
0000-0001-8239-7918,sowi,0.95
0000-0001-8240-4380,mint,0.95
0000-0001-8244-9642,mint,0.95
0000-0001-8244-9984,sowi,0.95
0000-0001-8245-0504,mint,0.95
0000-0001-8245-0555,mint,0.95
0000-0001-8247-9374,phil,1
0000-0001-8250-471X,sowi,1
0000-0001-8252-0285,mint,1
0000-0001-8255-5883,mint,1
0000-0001-8263-4936,sowi,1
0000-0001-8275-0822,mint,0.95
0000-0001-8282-0915,med,1
0000-0001-8282-7367,med,1
0000-0001-8287-012X,mint,1
0000-0001-8287-7428,mint,1
0000-0001-8289-2097,med,1
0000-0001-8292-8352,mint,1
0000-0001-8299-5897,med,1
0000-0001-8299-6697,mint,1
0000-0001-8304-7709,med,1
0000-0001-8310-6975,sowi,0.95
0000-0001-8344-4130,mint,1
0000-0001-8344-6830,sowi,0.95
0000-0001-8347-1614,med,1
0000-0001-8349-7419,med,1
0000-0001-8351-2690,med,1
0000-0001-8353-5964,med,1
0000-0001-8354-2945,sowi,1
